Sl. No,Body Part,Type of Bionic Chip,Average Cost (INR),Country of Origin,Vulnerability Identified,Impact Score
1147,Limbs (Arm/Leg),Neurostimulator Implants for Chronic Pain,1955874,Iceland,,
1148,Knee,Modular Prosthetic Limb Control System,4046791,USA,,
1149,Heart,Neuroprosthetic Chips,4461425,Iceland,,
1150,Hip,DePuy Synthes ATTUNE® Primary Total Hip System,1183173,USA,,
1151,Cochlea,Neuroprosthetic Chips,5437763,USA,,
1152,Bladder,Neurostimulator Implants for Chronic Pain,1774733,Germany,,
1153,Brain,Neuroprosthetic Chips,2334779,USA,,
1154,Bladder,GENUTECH Genutrain OA Prosthetic Knee Implant,4293101,USA,,
1155,Arm,Artificial Pancreas Control Chips,2661438,Iceland,Weak Password Policy,1
1156,Spine,i-Limb Ultra Prosthetic Hand Control System,5690974,Germany,,
1157,Leg,Integra LifeSciences Cadence Total Ankle System,5567111,USA,,
1158,Leg,Zimmer Biomet Comprehensive Reverse Shoulder System,4816307,Switzerland,Software Vulnerabilities,6
1159,Hip,Össur Proprio Foot Prosthetic Foot,3097140,USA,,
1160,Knee,Retinal Implant Chips,5616659,USA,,
1161,Shoulder,Integra LifeSciences Cadence Total Ankle System,2631341,USA,,
1162,Cochlea,Artificial Pancreas Control Chips,3934357,Iceland,,
1163,Knee,Integra LifeSciences Cadence Total Ankle System,4018837,Switzerland,,
1164,Knee,GENUTECH Genutrain OA Prosthetic Knee Implant,2688780,UK,,
1165,Knee,Cochlear Implant Chips,1303928,Germany,Communication Vulnerabilities,9
1166,Ear,Artificial Urinary Sphincter Control System,3265961,USA,Software Vulnerabilities,2
1167,Spine,Cochlear Implant Chips,6685296,USA,,
1168,Foot,Cardiac Implant Chips,3677399,USA,,
1169,Eye,Cardiac Implant Chips,4055036,USA,,
1170,Brain,Cardiac Implant Chips,1091223,UK,,
1171,Heart,Cardiac Implant Chips,3558401,USA,Communication Vulnerabilities,7
1172,Hand,DePuy Synthes ATTUNE® Primary Total Hip System,4013275,USA,Software Vulnerabilities,2
1173,Limbs (Arm/Leg),Zimmer Biomet Comprehensive Reverse Shoulder System,6665926,Iceland,,
1174,Shoulder,Zimmer Biomet Comprehensive Reverse Shoulder System,896007,Switzerland,,
1175,Leg,Retinal Implant Chips,1475650,Switzerland,,
1176,Knee,Neuroprosthetic Chips,3099172,USA,,
1177,Eye,GENUTECH Genutrain OA Prosthetic Knee Implant,4393827,USA,Software Vulnerabilities,9
1178,Shoulder,Modular Prosthetic Limb Control System,2291090,UK,,
1179,Hand,Neurostimulator Implants for Chronic Pain,2527928,USA,,
1180,Leg,i-Limb Ultra Prosthetic Hand Control System,2720136,USA,Hardware Vulnerabilities,2
1181,Leg,DePuy Synthes ATTUNE® Primary Total Hip System,2027563,USA,Weak Password Policy,5
1182,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,1798453,USA,,
1183,Ear,Zimmer Biomet Comprehensive Reverse Shoulder System,5864564,USA,,
1184,Hip,Cardiac Implant Chips,4254752,USA,,
1185,Ankle,Neuroprosthetic Chips,4609024,USA,,
1186,Ankle,Retinal Implant Chips,888414,USA,,
1187,Ear,Cochlear Implant Chips,2044100,USA,,
1188,Pancreas,Artificial Urinary Sphincter Control System,2168375,USA,,
1189,Leg,i-Limb Ultra Prosthetic Hand Control System,291580,China,Communication Vulnerabilities,8
1190,Heart,Advanced Bionics HiRes Ultra Cochlear Implant,5567243,Iceland,,
1191,Leg,Modular Prosthetic Limb Control System,5676381,Iceland,,
1192,Arm,Advanced Bionics HiRes Ultra Cochlear Implant,2801690,USA,,
1193,Heart,GENUTECH Genutrain OA Prosthetic Knee Implant,6195758,USA,,
1194,Pancreas,i-Limb Ultra Prosthetic Hand Control System,1477945,USA,,
1195,Heart,Integra LifeSciences Cadence Total Ankle System,1077478,Iceland,Weak Password Policy,5
1196,Knee,Integra LifeSciences Cadence Total Ankle System,6647240,UK,,
1197,Spine,Cardiac Implant Chips,3751938,Iceland,Hardware Vulnerabilities,4
1198,Brain,Integra LifeSciences Cadence Total Ankle System,6137220,USA,,
1199,Eye,DePuy Synthes ATTUNE® Primary Total Hip System,4775514,Iceland,,
1200,Arm,Össur Proprio Foot Prosthetic Foot,5754233,USA,,
1201,Eye,Zimmer Biomet Comprehensive Reverse Shoulder System,4012329,USA,Software Vulnerabilities,5
1202,Pancreas,i-Limb Ultra Prosthetic Hand Control System,6236418,Iceland,,
1203,Hip,Cochlear Implant Chips,2480888,USA,Weak Password Policy,2
1204,Foot,Zimmer Biomet Comprehensive Reverse Shoulder System,5077342,Switzerland,,
1205,Ankle,POWER KNEE by Össur,6442879,USA,,
1206,Pancreas,Cardiac Implant Chips,3828386,Iceland,,
1207,Brain,POWER KNEE by Össur,5415520,USA,,
1208,Foot,Advanced Bionics HiRes Ultra Cochlear Implant,6976144,Iceland,,
1209,Cochlea,i-Limb Ultra Prosthetic Hand Control System,204796,China,Hardware Vulnerabilities,7
1210,Limbs (Arm/Leg),Retinal Implant Chips,3612041,USA,,
1211,Eye,GENUTECH Genutrain OA Prosthetic Knee Implant,4093554,USA,,
1212,Brain,Zimmer Biomet Comprehensive Reverse Shoulder System,1388040,USA,,
1213,Heart,POWER KNEE by Össur,2959878,USA,,
1214,Hand,DePuy Synthes ATTUNE® Primary Total Hip System,5670374,Iceland,,
1215,Hip,Myoelectric Control Chips,6369131,USA,,
1216,Eye,Cochlear Implant Chips,117896,China,,
1217,Pancreas,Cardiac Implant Chips,1151769,USA,,
1218,Hand,Retinal Implant Chips,3637954,USA,,
1219,Pancreas,GENUTECH Genutrain OA Prosthetic Knee Implant,6557825,USA,,
1220,Bladder,Neurostimulator Implants for Chronic Pain,1682722,USA,,
1221,Ankle,GENUTECH Genutrain OA Prosthetic Knee Implant,4548909,Germany,,
1222,Ear,Advanced Bionics HiRes Ultra Cochlear Implant,3744612,USA,Weak Password Policy,2
1223,Hip,POWER KNEE by Össur,6051797,Iceland,,
1224,Bladder,Retinal Implant Chips,2610524,Germany,,
1225,Bladder,Cochlear Implant Chips,2569892,USA,,
1226,Hip,DePuy Synthes ATTUNE® Primary Total Hip System,4302506,USA,,
1227,Ankle,Artificial Pancreas Control Chips,5388692,USA,,
1228,Shoulder,Cochlear Implant Chips,5730279,USA,,
1229,Leg,i-Limb Ultra Prosthetic Hand Control System,1145677,Iceland,Communication Vulnerabilities,6
1230,Spine,Zimmer Biomet Comprehensive Reverse Shoulder System,4765447,Germany,,
1231,Hip,Cardiac Implant Chips,3551827,USA,Software Vulnerabilities,3
1232,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,5398926,Germany,Software Vulnerabilities,3
1233,Pancreas,i-Limb Ultra Prosthetic Hand Control System,1765957,Iceland,,
1234,Knee,Artificial Pancreas Control Chips,1786287,Iceland,,
1235,Foot,Myoelectric Control Chips,1996296,Switzerland,,
1236,Arm,Retinal Implant Chips,3627701,USA,,
1237,Limbs (Arm/Leg),Modular Prosthetic Limb Control System,1562151,USA,,
1238,Spine,Modular Prosthetic Limb Control System,1555902,Iceland,,
1239,Limbs (Arm/Leg),Cochlear Implant Chips,3804163,USA,,
1240,Hand,Artificial Urinary Sphincter Control System,268503,China,Weak Password Policy,9
1241,Knee,Cardiac Implant Chips,958121,USA,,
1242,Bladder,Integra LifeSciences Cadence Total Ankle System,5761271,Switzerland,,
1243,Ankle,Artificial Urinary Sphincter Control System,6511517,USA,,
1244,Leg,Advanced Bionics HiRes Ultra Cochlear Implant,5048712,USA,,
1245,Leg,Artificial Urinary Sphincter Control System,6903196,USA,,
1246,Knee,DePuy Synthes ATTUNE® Primary Total Hip System,1793988,USA,Software Vulnerabilities,5
1247,Leg,Integra LifeSciences Cadence Total Ankle System,3281020,USA,,
1248,Limbs (Arm/Leg),Advanced Bionics HiRes Ultra Cochlear Implant,1195365,Iceland,Software Vulnerabilities,8
1249,Leg,POWER KNEE by Össur,1294935,Iceland,,
1250,Shoulder,i-Limb Ultra Prosthetic Hand Control System,1488547,USA,,
1251,Brain,Neurostimulator Implants for Chronic Pain,2063598,USA,,
1252,Eye,Cardiac Implant Chips,4967674,Switzerland,,
1253,Hip,Retinal Implant Chips,4264905,Iceland,Weak Password Policy,1
1254,Heart,DePuy Synthes ATTUNE® Primary Total Hip System,251553,China,Hardware Vulnerabilities,8
1255,Limbs (Arm/Leg),DePuy Synthes ATTUNE® Primary Total Hip System,2925416,USA,,
1256,Shoulder,Cardiac Implant Chips,4274894,Switzerland,,
1257,Foot,GENUTECH Genutrain OA Prosthetic Knee Implant,3659490,USA,,
1258,Spine,Össur Proprio Foot Prosthetic Foot,4734556,USA,,
1259,Leg,Advanced Bionics HiRes Ultra Cochlear Implant,2994406,Iceland,Hardware Vulnerabilities,1
1260,Hip,GENUTECH Genutrain OA Prosthetic Knee Implant,3151574,USA,,
1261,Brain,Neuroprosthetic Chips,6636014,USA,,
1262,Foot,Neuroprosthetic Chips,1059521,Germany,,
1263,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,3776516,UK,,
1264,Bladder,Cochlear Implant Chips,1493802,Switzerland,Hardware Vulnerabilities,2
1265,Leg,Integra LifeSciences Cadence Total Ankle System,5969981,USA,,
1266,Pancreas,Artificial Pancreas Control Chips,5426367,USA,,
1267,Hip,Neurostimulator Implants for Chronic Pain,4235524,USA,,
1268,Brain,i-Limb Ultra Prosthetic Hand Control System,51680,China,,
1269,Ear,Össur Proprio Foot Prosthetic Foot,3423898,USA,,
1270,Spine,Advanced Bionics HiRes Ultra Cochlear Implant,5606299,USA,,
1271,Hip,Artificial Urinary Sphincter Control System,3615427,USA,,
1272,Hip,Integra LifeSciences Cadence Total Ankle System,1893369,USA,,
1273,Bladder,i-Limb Ultra Prosthetic Hand Control System,2569227,USA,,
1274,Heart,Advanced Bionics HiRes Ultra Cochlear Implant,4543009,USA,,
1275,Limbs (Arm/Leg),DePuy Synthes ATTUNE® Primary Total Hip System,1984020,Iceland,,
1276,Cochlea,Cochlear Implant Chips,837892,USA,Weak Password Policy,5
1277,Ear,Cochlear Implant Chips,5091916,USA,,
1278,Arm,i-Limb Ultra Prosthetic Hand Control System,2911844,USA,,
1279,Ear,POWER KNEE by Össur,5579038,Iceland,,
1280,Arm,Neurostimulator Implants for Chronic Pain,2953974,USA,,
1281,Eye,Artificial Urinary Sphincter Control System,2519259,Germany,,
1282,Knee,Modular Prosthetic Limb Control System,4260046,USA,,
1283,Leg,Össur Proprio Foot Prosthetic Foot,4006742,USA,,
1284,Pancreas,Integra LifeSciences Cadence Total Ankle System,2273162,Germany,,
1285,Pancreas,Neurostimulator Implants for Chronic Pain,2806524,UK,,
1286,Ear,i-Limb Ultra Prosthetic Hand Control System,206896,China,,
1287,Limbs (Arm/Leg),Zimmer Biomet Comprehensive Reverse Shoulder System,2746469,USA,,
1288,Bladder,Neuroprosthetic Chips,3908685,USA,Weak Password Policy,4
1289,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,2617433,USA,,
1290,Foot,Retinal Implant Chips,210167,China,,
1291,Limbs (Arm/Leg),i-Limb Ultra Prosthetic Hand Control System,1237921,USA,,
1292,Pancreas,DePuy Synthes ATTUNE® Primary Total Hip System,2045415,USA,,
1293,Ear,Advanced Bionics HiRes Ultra Cochlear Implant,6827947,USA,,
1294,Heart,Zimmer Biomet Comprehensive Reverse Shoulder System,5678687,USA,,
1295,Limbs (Arm/Leg),Myoelectric Control Chips,1250376,USA,Communication Vulnerabilities,3
1296,Arm,Neurostimulator Implants for Chronic Pain,4170841,UK,,
1297,Ear,Modular Prosthetic Limb Control System,2221622,Iceland,,
1298,Ear,Neurostimulator Implants for Chronic Pain,2120047,USA,,
1299,Ankle,Advanced Bionics HiRes Ultra Cochlear Implant,5937809,Germany,Weak Password Policy,8
1300,Arm,i-Limb Ultra Prosthetic Hand Control System,945254,USA,,
1301,Shoulder,Artificial Urinary Sphincter Control System,93673,China,Software Vulnerabilities,9
1302,Cochlea,i-Limb Ultra Prosthetic Hand Control System,6322537,USA,,
1303,Limbs (Arm/Leg),Artificial Urinary Sphincter Control System,1858271,Iceland,,
1304,Pancreas,Modular Prosthetic Limb Control System,3074221,Switzerland,,
1305,Eye,Össur Proprio Foot Prosthetic Foot,2795526,USA,,
1306,Hip,Retinal Implant Chips,5505895,UK,,
1307,Cochlea,Neuroprosthetic Chips,2546070,USA,,
1308,Shoulder,Zimmer Biomet Comprehensive Reverse Shoulder System,1167447,USA,,
1309,Shoulder,Artificial Urinary Sphincter Control System,3307708,USA,,
1310,Limbs (Arm/Leg),Össur Proprio Foot Prosthetic Foot,3452249,UK,Software Vulnerabilities,3
1311,Leg,Neurostimulator Implants for Chronic Pain,1244565,Iceland,,
1312,Ankle,Cardiac Implant Chips,3611568,Switzerland,,
1313,Limbs (Arm/Leg),Modular Prosthetic Limb Control System,6534916,USA,Weak Password Policy,3
1314,Spine,Myoelectric Control Chips,107630,China,Hardware Vulnerabilities,9
1315,Pancreas,DePuy Synthes ATTUNE® Primary Total Hip System,1366874,USA,,
1316,Leg,Advanced Bionics HiRes Ultra Cochlear Implant,4773373,USA,,
1317,Knee,Cochlear Implant Chips,1398056,Iceland,,
1318,Arm,Advanced Bionics HiRes Ultra Cochlear Implant,6497507,USA,,
1319,Foot,GENUTECH Genutrain OA Prosthetic Knee Implant,6230526,USA,Weak Password Policy,1
1320,Hand,Myoelectric Control Chips,6583281,Germany,Weak Password Policy,3
1321,Cochlea,Zimmer Biomet Comprehensive Reverse Shoulder System,4588251,Iceland,Hardware Vulnerabilities,9
1322,Eye,Retinal Implant Chips,6484257,USA,,
1323,Limbs (Arm/Leg),Cardiac Implant Chips,4342845,USA,Communication Vulnerabilities,9
1324,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,3427414,USA,,
1325,Eye,Myoelectric Control Chips,5042362,USA,,
1326,Cochlea,Cochlear Implant Chips,2938136,Iceland,,
1327,Hand,Artificial Pancreas Control Chips,1121843,USA,,
1328,Knee,Artificial Pancreas Control Chips,854622,Switzerland,,
1329,Hand,Zimmer Biomet Comprehensive Reverse Shoulder System,2430255,USA,,
1330,Heart,Zimmer Biomet Comprehensive Reverse Shoulder System,179109,China,,
1331,Knee,Cardiac Implant Chips,5368106,USA,,
1332,Pancreas,Zimmer Biomet Comprehensive Reverse Shoulder System,6183893,Switzerland,,
1333,Ear,Cochlear Implant Chips,2255922,Iceland,,
1334,Knee,DePuy Synthes ATTUNE® Primary Total Hip System,3922198,USA,,
1335,Hand,Zimmer Biomet Comprehensive Reverse Shoulder System,5738173,USA,,
1336,Shoulder,POWER KNEE by Össur,5439294,USA,,
1337,Foot,Cochlear Implant Chips,2532663,USA,,
1338,Hip,DePuy Synthes ATTUNE® Primary Total Hip System,1886687,Germany,Weak Password Policy,6
1339,Ear,Integra LifeSciences Cadence Total Ankle System,2481534,Germany,Hardware Vulnerabilities,9
1340,Brain,Artificial Urinary Sphincter Control System,5667538,USA,,
1341,Brain,Artificial Urinary Sphincter Control System,6263461,Germany,,
1342,Hand,i-Limb Ultra Prosthetic Hand Control System,4341233,USA,,
1343,Shoulder,Modular Prosthetic Limb Control System,151782,China,,
1344,Hand,Myoelectric Control Chips,1738720,USA,,
1345,Hip,GENUTECH Genutrain OA Prosthetic Knee Implant,1774515,Switzerland,,
1346,Hip,Myoelectric Control Chips,1809703,USA,,
1347,Ankle,Myoelectric Control Chips,2163088,USA,,
1348,Leg,Zimmer Biomet Comprehensive Reverse Shoulder System,2969342,USA,Weak Password Policy,8
1349,Bladder,Integra LifeSciences Cadence Total Ankle System,65651,China,,
1350,Arm,DePuy Synthes ATTUNE® Primary Total Hip System,4406246,USA,,
1351,Limbs (Arm/Leg),Zimmer Biomet Comprehensive Reverse Shoulder System,6789705,USA,,
1352,Hip,POWER KNEE by Össur,3312233,USA,,
1353,Eye,Modular Prosthetic Limb Control System,2337753,USA,,
1354,Knee,GENUTECH Genutrain OA Prosthetic Knee Implant,6377480,UK,,
1355,Knee,i-Limb Ultra Prosthetic Hand Control System,2648515,USA,,
1356,Limbs (Arm/Leg),Neurostimulator Implants for Chronic Pain,5782564,Germany,,
1357,Cochlea,POWER KNEE by Össur,2941787,UK,Software Vulnerabilities,7
1358,Heart,Cochlear Implant Chips,3651137,Switzerland,,
1359,Shoulder,Modular Prosthetic Limb Control System,5485472,Iceland,,
1360,Spine,Cochlear Implant Chips,2883150,USA,,
1361,Pancreas,Myoelectric Control Chips,6650613,Germany,,
1362,Shoulder,Össur Proprio Foot Prosthetic Foot,6108906,USA,Software Vulnerabilities,1
1363,Arm,Cochlear Implant Chips,3690671,USA,,
1364,Pancreas,GENUTECH Genutrain OA Prosthetic Knee Implant,2242510,Iceland,Hardware Vulnerabilities,5
1365,Limbs (Arm/Leg),Retinal Implant Chips,3135508,Germany,Communication Vulnerabilities,6
1366,Shoulder,Neuroprosthetic Chips,2220375,USA,,
1367,Ankle,i-Limb Ultra Prosthetic Hand Control System,4341526,USA,,
1368,Knee,Modular Prosthetic Limb Control System,1924679,Germany,Software Vulnerabilities,1
1369,Pancreas,Artificial Pancreas Control Chips,5187425,USA,,
1370,Eye,POWER KNEE by Össur,6788200,USA,,
1371,Ear,Artificial Pancreas Control Chips,6043768,USA,,
1372,Arm,Myoelectric Control Chips,4984825,USA,,
1373,Ankle,i-Limb Ultra Prosthetic Hand Control System,4460236,USA,,
1374,Ear,i-Limb Ultra Prosthetic Hand Control System,4137930,USA,,
1375,Knee,Artificial Urinary Sphincter Control System,2970773,USA,,
1376,Pancreas,DePuy Synthes ATTUNE® Primary Total Hip System,3067202,Iceland,,
1377,Pancreas,Össur Proprio Foot Prosthetic Foot,6885215,USA,,
1378,Arm,Artificial Pancreas Control Chips,2085374,USA,,
1379,Hip,Integra LifeSciences Cadence Total Ankle System,1338000,Iceland,,
1380,Hand,Össur Proprio Foot Prosthetic Foot,3252885,Germany,,
1381,Arm,i-Limb Ultra Prosthetic Hand Control System,2487650,USA,,
1382,Ear,Retinal Implant Chips,1891065,USA,,
1383,Ankle,Advanced Bionics HiRes Ultra Cochlear Implant,4686663,USA,,
1384,Bladder,Artificial Urinary Sphincter Control System,6909491,Switzerland,,
1385,Ankle,POWER KNEE by Össur,5603219,USA,,
1386,Brain,Advanced Bionics HiRes Ultra Cochlear Implant,266069,China,,
1387,Pancreas,Neurostimulator Implants for Chronic Pain,3113771,UK,,
1388,Shoulder,Artificial Urinary Sphincter Control System,6394463,USA,,
1389,Foot,Össur Proprio Foot Prosthetic Foot,1240893,USA,,
1390,Hip,Cochlear Implant Chips,6864900,Iceland,,
1391,Arm,Advanced Bionics HiRes Ultra Cochlear Implant,2013776,USA,,
1392,Hip,Neuroprosthetic Chips,3374710,Iceland,,
1393,Limbs (Arm/Leg),i-Limb Ultra Prosthetic Hand Control System,1300356,UK,,
1394,Spine,Cardiac Implant Chips,5833071,USA,,
1395,Brain,Össur Proprio Foot Prosthetic Foot,6723866,USA,,
1396,Knee,Zimmer Biomet Comprehensive Reverse Shoulder System,2350429,USA,,
1397,Ear,Neurostimulator Implants for Chronic Pain,5101981,USA,,
1398,Eye,Neuroprosthetic Chips,1944836,Germany,,
1399,Heart,Neurostimulator Implants for Chronic Pain,4334183,Switzerland,,
1400,Limbs (Arm/Leg),Cochlear Implant Chips,1225372,Iceland,,
1401,Bladder,Cochlear Implant Chips,2343662,Switzerland,,
1402,Hip,Cochlear Implant Chips,2793822,USA,,
1403,Ear,Cochlear Implant Chips,5649164,USA,,
1404,Heart,Retinal Implant Chips,4179487,Germany,,
1405,Leg,Neuroprosthetic Chips,6947283,USA,Software Vulnerabilities,2
1406,Cochlea,Össur Proprio Foot Prosthetic Foot,5309665,Switzerland,Hardware Vulnerabilities,9
1407,Knee,Cardiac Implant Chips,6870178,Germany,,
1408,Pancreas,Össur Proprio Foot Prosthetic Foot,6548947,Iceland,,
1409,Eye,Integra LifeSciences Cadence Total Ankle System,1816857,USA,Weak Password Policy,4
1410,Foot,Zimmer Biomet Comprehensive Reverse Shoulder System,4596577,USA,,
1411,Foot,i-Limb Ultra Prosthetic Hand Control System,5239545,USA,,
1412,Foot,GENUTECH Genutrain OA Prosthetic Knee Implant,2708587,USA,,
1413,Bladder,Cardiac Implant Chips,1734176,UK,Software Vulnerabilities,9
1414,Ankle,i-Limb Ultra Prosthetic Hand Control System,4057017,USA,,
1415,Pancreas,Modular Prosthetic Limb Control System,1005721,Switzerland,Software Vulnerabilities,8
1416,Hip,Artificial Urinary Sphincter Control System,1663034,Iceland,Weak Password Policy,8
1417,Ear,Myoelectric Control Chips,874913,Iceland,,
1418,Shoulder,i-Limb Ultra Prosthetic Hand Control System,4160525,USA,,
1419,Heart,Cardiac Implant Chips,4923163,USA,,
1420,Leg,Advanced Bionics HiRes Ultra Cochlear Implant,6539037,Switzerland,Software Vulnerabilities,6
1421,Ankle,Zimmer Biomet Comprehensive Reverse Shoulder System,2808779,Switzerland,,
1422,Spine,Neurostimulator Implants for Chronic Pain,1455301,Germany,,
1423,Brain,Integra LifeSciences Cadence Total Ankle System,2599524,USA,Weak Password Policy,9
1424,Eye,Advanced Bionics HiRes Ultra Cochlear Implant,2957504,Switzerland,,
1425,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,6097163,USA,Software Vulnerabilities,6
1426,Brain,Neurostimulator Implants for Chronic Pain,5978643,USA,Weak Password Policy,3
1427,Ankle,POWER KNEE by Össur,5943223,Iceland,,
1428,Spine,Cochlear Implant Chips,3185378,Germany,Hardware Vulnerabilities,3
1429,Knee,DePuy Synthes ATTUNE® Primary Total Hip System,1231243,USA,,
1430,Cochlea,GENUTECH Genutrain OA Prosthetic Knee Implant,255723,China,,
1431,Spine,Össur Proprio Foot Prosthetic Foot,6057483,USA,,
1432,Spine,GENUTECH Genutrain OA Prosthetic Knee Implant,2673760,Germany,,
1433,Shoulder,Retinal Implant Chips,6787965,USA,,
1434,Arm,Cochlear Implant Chips,6756170,Iceland,,
1435,Foot,Artificial Urinary Sphincter Control System,264719,China,Software Vulnerabilities,9
1436,Ear,Neurostimulator Implants for Chronic Pain,4807525,Iceland,,
1437,Shoulder,Myoelectric Control Chips,6644730,USA,Communication Vulnerabilities,9
1438,Hand,Neurostimulator Implants for Chronic Pain,2765524,Iceland,,
1439,Eye,Össur Proprio Foot Prosthetic Foot,5011447,USA,,
1440,Brain,Myoelectric Control Chips,4445398,USA,,
1441,Eye,POWER KNEE by Össur,5920055,USA,,
1442,Ear,Artificial Urinary Sphincter Control System,824595,Iceland,,
1443,Leg,Cardiac Implant Chips,5640736,Germany,,
1444,Cochlea,Retinal Implant Chips,2328158,USA,,
1445,Hand,Retinal Implant Chips,5062178,USA,Communication Vulnerabilities,3
1446,Hand,POWER KNEE by Össur,3852642,USA,Communication Vulnerabilities,2
1447,Heart,Retinal Implant Chips,1462485,USA,,
1448,Bladder,Zimmer Biomet Comprehensive Reverse Shoulder System,6194104,USA,Communication Vulnerabilities,9
1449,Bladder,Integra LifeSciences Cadence Total Ankle System,5208131,Germany,,
1450,Foot,Cardiac Implant Chips,4220863,USA,,
1451,Ear,Artificial Pancreas Control Chips,3463310,USA,,
1452,Hip,Össur Proprio Foot Prosthetic Foot,6451902,USA,,
1453,Ankle,Össur Proprio Foot Prosthetic Foot,2099733,USA,,
1454,Hand,Myoelectric Control Chips,3320438,Iceland,,
1455,Pancreas,i-Limb Ultra Prosthetic Hand Control System,247493,China,Weak Password Policy,9
1456,Leg,DePuy Synthes ATTUNE® Primary Total Hip System,3557589,USA,,
1457,Shoulder,POWER KNEE by Össur,6745226,USA,,
1458,Cochlea,Össur Proprio Foot Prosthetic Foot,4364385,UK,,
1459,Heart,Artificial Pancreas Control Chips,4789122,Iceland,Software Vulnerabilities,5
1460,Bladder,Modular Prosthetic Limb Control System,262118,China,,
1461,Leg,Integra LifeSciences Cadence Total Ankle System,84762,China,Weak Password Policy,8
1462,Limbs (Arm/Leg),Össur Proprio Foot Prosthetic Foot,1453138,USA,,
1463,Pancreas,Cochlear Implant Chips,839627,USA,,
1464,Cochlea,Össur Proprio Foot Prosthetic Foot,5768367,USA,,
1465,Ear,Neuroprosthetic Chips,4537332,UK,,
1466,Heart,Cardiac Implant Chips,1034498,USA,Weak Password Policy,4
1467,Foot,GENUTECH Genutrain OA Prosthetic Knee Implant,5032188,USA,,
1468,Arm,Artificial Pancreas Control Chips,4773706,Iceland,,
1469,Brain,Advanced Bionics HiRes Ultra Cochlear Implant,5378381,USA,,
1470,Knee,DePuy Synthes ATTUNE® Primary Total Hip System,6647499,USA,,
1471,Hand,Artificial Urinary Sphincter Control System,4702012,USA,Communication Vulnerabilities,8
1472,Ankle,Zimmer Biomet Comprehensive Reverse Shoulder System,1837035,Iceland,,
1473,Hip,Advanced Bionics HiRes Ultra Cochlear Implant,5642145,UK,Weak Password Policy,8
1474,Bladder,Integra LifeSciences Cadence Total Ankle System,5993045,USA,,
1475,Bladder,POWER KNEE by Össur,1886170,USA,Software Vulnerabilities,8
1476,Ankle,POWER KNEE by Össur,91267,China,Communication Vulnerabilities,8
1477,Bladder,Össur Proprio Foot Prosthetic Foot,1769709,USA,,
1478,Knee,Retinal Implant Chips,6192235,USA,,
1479,Spine,Cochlear Implant Chips,3882165,USA,Weak Password Policy,2
1480,Spine,Retinal Implant Chips,1801805,USA,Weak Password Policy,8
1481,Brain,Neuroprosthetic Chips,3272972,USA,,
1482,Shoulder,Cardiac Implant Chips,3116228,USA,,
1483,Heart,Modular Prosthetic Limb Control System,4150511,Iceland,,
1484,Knee,Artificial Urinary Sphincter Control System,2369526,USA,,
1485,Foot,Cochlear Implant Chips,953110,Germany,,
1486,Shoulder,Össur Proprio Foot Prosthetic Foot,1248455,Iceland,,
1487,Pancreas,DePuy Synthes ATTUNE® Primary Total Hip System,1509118,Germany,,
1488,Shoulder,Modular Prosthetic Limb Control System,5323546,Switzerland,,
1489,Spine,Neurostimulator Implants for Chronic Pain,1062548,Iceland,,
1490,Hand,i-Limb Ultra Prosthetic Hand Control System,5477767,Iceland,,
1491,Hip,Advanced Bionics HiRes Ultra Cochlear Implant,6127698,UK,,
1492,Ankle,Modular Prosthetic Limb Control System,2834267,Switzerland,,
1493,Hip,Cardiac Implant Chips,5974375,Switzerland,,
1494,Hip,Össur Proprio Foot Prosthetic Foot,6035756,USA,,
1495,Arm,POWER KNEE by Össur,1893384,USA,,
1496,Shoulder,Integra LifeSciences Cadence Total Ankle System,3901749,Germany,Hardware Vulnerabilities,8
1497,Foot,Artificial Urinary Sphincter Control System,4843633,USA,,
1498,Leg,Retinal Implant Chips,5363896,USA,,
1499,Pancreas,Artificial Urinary Sphincter Control System,1560095,USA,Software Vulnerabilities,5
1500,Pancreas,Cochlear Implant Chips,6402058,Iceland,,
1501,Ankle,Artificial Urinary Sphincter Control System,3333843,Switzerland,,
1502,Cochlea,Neurostimulator Implants for Chronic Pain,5304392,USA,,
1503,Brain,Cochlear Implant Chips,4667944,USA,,
1504,Ear,Cardiac Implant Chips,4765799,USA,,
1505,Bladder,Össur Proprio Foot Prosthetic Foot,2821112,USA,,
1506,Heart,Artificial Pancreas Control Chips,4968692,USA,,
1507,Heart,Myoelectric Control Chips,6557842,USA,,
1508,Brain,GENUTECH Genutrain OA Prosthetic Knee Implant,5629864,USA,,
1509,Limbs (Arm/Leg),Retinal Implant Chips,3184843,USA,,
1510,Bladder,DePuy Synthes ATTUNE® Primary Total Hip System,2872547,Iceland,,
1511,Brain,i-Limb Ultra Prosthetic Hand Control System,5877071,Iceland,,
1512,Arm,Integra LifeSciences Cadence Total Ankle System,6133532,USA,,
1513,Spine,Zimmer Biomet Comprehensive Reverse Shoulder System,2951935,USA,Communication Vulnerabilities,8
1514,Spine,Integra LifeSciences Cadence Total Ankle System,5616838,UK,,
